"IDStazione","Latitudine","Longitudine","Provincia","Città","Località"
"18","45°21'21''","10°57'13''","VR","Castel d'Azzano",NULL
"19","45°22'38''","11°03'12''","VR","S. Giovanni Lupatoto",NULL
"21","45°25'58''","11°10'31''","VR","Colognola ai Colli",NULL
"24","45°27'07''","11°00'53''","VR","Verona","Bgo Venezia (iz3sly)"
"38","45°41'52''","10°51'32''","VR","Ferrara di M.B.",NULL
"54","45°30'12''","10°54'58''","VR","Pedemonte",NULL
"55","45°29'53''","10°47'18''","VR","Pastrengo","Corné"
"59","45°40'00''","10°46'00''","VR","S. Zeno di Mont.","Prada"
"78","45°10'09'' ","11°19'05'' ","VR","Legnago",NULL
"125","45°25'31''","11°14'52''","VR","Soave","Borgo Bassano"
"139","45°18'55''","10°56'52''","VR","Vigasio",NULL
"157","45°11'35''","11°11'46''","VR","Cerea",NULL
"221","45°17'56''","11°26'24''","VR","Cologna Veneta","Sant'Andrea"
"237","45°23'27''","10°54'47''","VR","Dossobuono",NULL
"246","45°25'55''","10°53'20''","VR","Lugagnano",NULL
"345","45°29'37''","10°47'49''","VR","Pastrengo",NULL
"360","45°31'26''","10°53'02''","VR","San Pietro in Cariano",NULL
"429","45°33'42''","11°07'34''","VR","Badia Calavena","loc. San Valentino"
"435","45°36'20''","11°01'28''","VR","Contrada Dosso Gervasio",NULL
"452","45°40'37''","11°03'00''","VR","Rifugio Bocca di Selva",NULL
"454","45°33'36''","10°52'00''","VR","Fumane","Contrada La Ca"
"456","45°37'00''","10°54'38''","VR","Molina",NULL
"457","45°41'31''","11°03'27''","VR","Rifugio Primaneve",NULL
"461","45°31'08''","11°13'59''","VR","S. Giovanni Ilarione2",NULL
"470","45°35'28''","11°05'16''","VR","Vazzo Roveré Veronese",NULL
"472","45°11'10''","11°11'53''","VR","Cerea2",NULL
"474","45°22'26''","11°04'12''","VR","S. Maria di Zevio","Loc. 3 Ponti"
"476","45°38'34''","10°44'02''","VR","San Zeno di Mont.","Loc. Castello"
"479","45°32'39''","10°43'37''","VR","Bardolino",NULL
"482","45°41'01''","10°58'45''","VR","Erbezzo","Passo Fittanze"
"483","45°27'10''","11°03'51''","VR","Montorio",NULL
"486","45°40'40''","11°05'46''","VR","Malga Malera",NULL
"494","45°28'38''","11°03'37''","VR","Mizzole",NULL
"496","45°30'00''","10°56'10''","VR","Santa Maria di Negrar",NULL
"499","45°21'44''","10°57'34''","VR","Beccacivetta",NULL
"501","45°26'12''","10°41'12''","VR","Peschiera del Garda",NULL
"502","45°22'31''","11°00'42''","VR","Verona","Cadidavid2"
"504","45°08'45''","11°21'01''","VR","Villabartolomea",NULL
"509","45°30'52''","10°56'03''","VR","San Vito di Negrar",NULL
"510","45°27'00''","11°17'00''","VR","Brognoligo",NULL
"513","45°43'06''","11°01'02''","VR","Rifugio Castelberto",NULL
"541","45°26'44''","10°56'11''","VR","Verona","Croce Bianca"
"542","45°26'15''","10°59'35''","VR","Verona","Centro Comune ""Bellavite"""
"543","45°27'34''","10°44'43''","VR","Lazise","Colà"
"545","45°32'24''","10°55'14''","VR","Gnirega",NULL
"552","45°25'17''","10°58'01''","VR","Verona","Golosine"
"553","45°29'20''","10°56'04''","VR","Arbizzano di Negrar","Zai"
